subfolder,column_name
Mobile_Device_Usage_and_User_Behavior_Dataset,Column Name
Mobile_Device_Usage_and_User_Behavior_Dataset,Column Description
Mobile_Device_Usage_and_User_Behavior_Dataset,Column Type
Loan_Approval_Classification_Dataset,Column Name
Loan_Approval_Classification_Dataset,Column Description
Loan_Approval_Classification_Dataset,Column Type
New_York_Airbnb_Open_Data,Column Name
New_York_Airbnb_Open_Data,Column Description
New_York_Airbnb_Open_Data,Column Type
Customer_Feedback_and_Satisfaction,Column Name
Customer_Feedback_and_Satisfaction,Column Description
Customer_Feedback_and_Satisfaction,Column Type
Bank_Transaction_Dataset_for_Fraud_Detection,Column Name
Bank_Transaction_Dataset_for_Fraud_Detection,Column Description
Bank_Transaction_Dataset_for_Fraud_Detection,Column Type
Gym_Members_Exercise_Dataset,Column Name
Gym_Members_Exercise_Dataset,Column Description
Gym_Members_Exercise_Dataset,Column Type
Data_Science_Job,Column Name
Data_Science_Job,Column Description
Data_Science_Job,Column Type
US_Election_Dataset_,Column Name
US_Election_Dataset_,Column Description
US_Election_Dataset_,Column Type
IMDB_Movie_Dataset,Column Name
IMDB_Movie_Dataset,Column Description
IMDB_Movie_Dataset,Column Type
50K_Songs_Dataset_-_Generated_by_AI,Column Name
50K_Songs_Dataset_-_Generated_by_AI,Column Description
50K_Songs_Dataset_-_Generated_by_AI,Column Type
